Datetime,mnq,div_cl,rot_score,above_4h_open,target,hour,dow,ml_prob,result
2026-05-05 09:00:00,27935.5,11.656422277276135,82.4,1,1,9,1,0.5458446,WIN
2026-05-05 12:00:00,27973.0,17.38424202677154,73.5,1,1,12,1,0.518422,WIN
2026-05-05 13:00:00,28080.5,27.39554030981948,82.4,1,1,13,1,0.52238184,WIN
2026-05-05 14:00:00,28096.0,29.652799202002157,82.4,1,1,14,1,0.5164555,WIN
2026-05-08 13:00:00,29110.5,29.71081465535474,64.7,1,1,13,4,0.5349652,WIN
2026-05-13 04:00:00,29287.0,2.1830400064102236,67.6,1,1,4,2,0.5081363,WIN
2026-05-15 17:00:00,29448.5,2.8292623532775636,61.8,1,0,17,4,0.6409513,LOSS
2026-05-18 11:00:00,29177.5,1.2139302065385422,61.8,1,0,11,0,0.5689309,LOSS
2026-05-18 12:00:00,29408.5,18.252044546256727,64.7,1,0,12,0,0.5441859,LOSS
2026-05-20 06:00:00,29039.25,4.291731258418338,76.5,1,1,6,2,0.5328856,WIN
2026-05-20 14:00:00,29261.5,20.312713186046565,73.5,1,1,14,2,0.55279624,WIN
