feature,tipo,condicao,n,wr_1h,wr_4h,edge_1h,edge_4h
di_spread_btc,continua,Q1[-56.483--11.166],2960,0.23209459459459458,0.6513513513513514,-0.014061850750902966,-0.022073213608945985
dist_sma50_cl,continua,Q2[-1.095-0.092],2959,0.23183507941872253,0.6590064210882055,-0.01432136592677502,-0.014418143872091838
open_d_dist_mnq,continua,Q2[-0.170-0.000],1701,0.2310405643738977,0.6637272192827748,-0.015115880971599854,-0.009697345677522562
dist_open_d_mnq,continua,Q2[-0.170-0.000],1701,0.2310405643738977,0.6637272192827748,-0.015115880971599854,-0.009697345677522562
dist_sma50_mnq,continua,Q1[-13.544--0.429],2960,0.23074324324324325,0.6381756756756757,-0.015413202102254303,-0.035248889284621665
div_btc,continua,Q1[-46.132--5.908],2960,0.22972972972972974,0.647972972972973,-0.016426715615767806,-0.025451591987324385
bb_w_cl,continua,Q3[1.260-2.048],2959,0.2294694153430213,0.6529232848935451,-0.01668703000247626,-0.020501280066752225
vol_cl,continua,Q2[0.290-0.391],2959,0.22879351132139236,0.6478540047313281,-0.017362934024105187,-0.025570560228969197
rsi_cl_abaixo_40,binaria,rsi_cl_abaixo_40=1,1846,0.2275189599133261,0.6495124593716143,-0.018637485432171447,-0.023912105588683064
r_cl_4h,continua,Q3[0.026-0.490],2959,0.2274417032781345,0.672524501520784,-0.018714742067363038,-0.0009000634395133211
bb_w_mnq,continua,Q4[1.146-11.050],2960,0.2260135135135135,0.6449324324324325,-0.02014293183198404,-0.028492132527864866
rsi_mnq_abaixo_40,binaria,rsi_mnq_abaixo_40=1,1577,0.22130627774254916,0.6296766011414078,-0.024850167602948392,-0.04374796381888957
vol_es,continua,Q4[0.235-2.193],2960,0.22128378378378377,0.6277027027027027,-0.024872661561713777,-0.04572186225759467
vol_mnq,continua,Q4[0.322-2.918],2960,0.22027027027027027,0.6277027027027027,-0.02588617507522728,-0.04572186225759467
dist_open_d_es,continua,Q2[-0.126-0.000],1712,0.21904205607476634,0.6518691588785047,-0.027114389270731204,-0.021555406081792627
open_d_dist_es,continua,Q2[-0.126-0.000],1712,0.21904205607476634,0.6518691588785047,-0.027114389270731204,-0.021555406081792627
